com.samsung.health.sleep_stage;6110061;6;;;;;;;;
start_time;sleep_id;custom;update_time;create_time;stage;time_offset;deviceuuid;pkg_name;end_time;datauuid
2020-09-01 23:22:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40001;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-01 23:26:00.000;3713d761-0e35-bae5-ae2e-bdb42c2e1536
2020-09-01 23:49:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40002;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 00:06:00.000;72ec0096-b482-f885-2580-a6f95f91af15
2020-09-02 00:42:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40004;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 00:49:00.000;a25927cb-e04c-04d4-6231-032a60a218dc
2020-09-02 01:09:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40004;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 01:23:00.000;3a97ac3d-a55b-d34e-db1c-4b594e055823
2020-09-02 02:25:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40002;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 02:58:00.000;f12df4f9-97aa-6a4b-dd17-27f2d70b8c06
2020-09-02 03:17:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40002;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 03:36:00.000;0704a725-7ad0-1e48-4466-51e04202465f
2020-09-02 04:02:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40002;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 04:05:00.000;43446fd3-a23b-cc99-0bcd-2800debcce7d
2020-09-02 05:10:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40004;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 05:24:00.000;c8b7e758-7f3d-e2d3-0d66-d5180299abeb
2020-09-01 23:29:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40002;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-01 23:30:00.000;ea981570-189d-2f65-cb06-00d423124df7
2020-09-01 23:26:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40003;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-01 23:29:00.000;fdd050da-105d-5b4a-f2ab-912ff6525875
2020-09-02 06:04:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40001;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 06:05:00.000;5682c28d-5d1b-d112-12ea-928b1dd14d68
2020-09-02 00:07:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40003;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 00:21:00.000;fedaec29-6fd4-7c07-fd3f-35a03160882b
2020-09-02 00:50:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40002;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 00:54:00.000;200d472a-bd92-a23b-e5b4-3426c949f480
2020-09-02 00:06:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40001;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 00:07:00.000;14e84561-24b1-3e71-85aa-93587f4ef8ad
2020-09-02 06:36:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40001;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 06:37:00.000;98b287f8-e756-183a-7685-c745b25cf9f7
2020-09-02 00:49:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40001;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 00:50:00.000;37ad3e9b-3536-0705-86e0-530728f05faf
